127.0.0.1 - - [13/Jan/2019:17:47:04 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:47:05 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:47:05 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:47:07 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do?d-16544-s=3&d-16544-o=2 HTTP/1.1" 200 3583
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do?d-16544-s=3&d-16544-o=2 HTTP/1.1" 200 3566
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/images/arrow_down.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:49:50 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/application/handyWorker/list.do?d-16544-s=3&d-16544-o=2 HTTP/1.1" 200 3566
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/images/arrow_down.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/images/arrow_off.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2019:17:50:27 +0100] "GET /Acme-Handy-Worker/images/logo.png HTTP/1.1" 304 -
